"","ZIPCode","Community.Area","Community.Area.Name","Birth.Rate","Prostate.Cancer.in.Males","General.Fertility.Rate","Low.Birth.Weight","Prenatal.Care.Beginning.in.First.Trimester","Preterm.Births","Teen.Birth.Rate","Assault..Homicide.","Breast.cancer.in.females","Cancer..All.Sites.","Colorectal.Cancer","Diabetes.related","Firearm.related","Infant.Mortality.Rate","Lung.Cancer","Prostate.Cancer.in.Males.1","Stroke..Cerebrovascular.Disease.","Childhood.Blood.Lead.Level.Screening","Childhood.Lead.Poisoning","Gonorrhea.in.Females","Gonorrhea.in.Males","Tuberculosis","Below.Poverty.Level","Crowded.Housing","Dependency","No.High.School.Diploma","Per.Capita.Income","Unemployment","2010Pop","Neighborhood"
"302",60628,75,"Morgan Park",13.2,39.8,67.5,10.6,74.5,12.3,46.7,19.9,32.4,218.2,27.1,75.4,15.8,13.1,50,39.8,47.9,298.8,1.3,800.5,"741.1",2.6,13.7,0.8,39.4,10.9,26185,14.9,45,"ROSELAND"
"303",60628,75,"Morgan Park",13.2,39.8,67.5,10.6,74.5,12.3,46.7,19.9,32.4,218.2,27.1,75.4,15.8,13.1,50,39.8,47.9,298.8,1.3,800.5,"741.1",2.6,13.7,0.8,39.4,10.9,26185,14.9,45,"WEST PULLMAN"
"304",60628,75,"Morgan Park",13.2,39.8,67.5,10.6,74.5,12.3,46.7,19.9,32.4,218.2,27.1,75.4,15.8,13.1,50,39.8,47.9,298.8,1.3,800.5,"741.1",2.6,13.7,0.8,39.4,10.9,26185,14.9,45,"MORGAN PARK"
"305",60628,75,"Morgan Park",13.2,39.8,67.5,10.6,74.5,12.3,46.7,19.9,32.4,218.2,27.1,75.4,15.8,13.1,50,39.8,47.9,298.8,1.3,800.5,"741.1",2.6,13.7,0.8,39.4,10.9,26185,14.9,45,"PULLMAN"
"306",60628,73,"Washington Heights",12,56.2,61,19.6,75.4,16.2,65,38,47.9,260.6,29.7,79.5,35.6,11.2,70,56.2,57.6,371.4,1.5,1298.2,"1274.2",3,15.7,1.1,42.4,15.6,19709,18.3,4463,"ROSELAND"
"307",60628,73,"Washington Heights",12,56.2,61,19.6,75.4,16.2,65,38,47.9,260.6,29.7,79.5,35.6,11.2,70,56.2,57.6,371.4,1.5,1298.2,"1274.2",3,15.7,1.1,42.4,15.6,19709,18.3,4463,"WEST PULLMAN"
"308",60628,73,"Washington Heights",12,56.2,61,19.6,75.4,16.2,65,38,47.9,260.6,29.7,79.5,35.6,11.2,70,56.2,57.6,371.4,1.5,1298.2,"1274.2",3,15.7,1.1,42.4,15.6,19709,18.3,4463,"MORGAN PARK"
"309",60628,73,"Washington Heights",12,56.2,61,19.6,75.4,16.2,65,38,47.9,260.6,29.7,79.5,35.6,11.2,70,56.2,57.6,371.4,1.5,1298.2,"1274.2",3,15.7,1.1,42.4,15.6,19709,18.3,4463,"PULLMAN"
"310",60628,50,"Pullman",14.3,92.9,66.5,11.2,81.3,12.1,67.9,32.2,34.6,262.5,28.1,78.5,32.1,13.6,83.8,92.9,65.3,398.5,3.7,829.1,"1480.4",2.7,20.1,1.4,42,15.6,19007,21,7278,"ROSELAND"
"311",60628,50,"Pullman",14.3,92.9,66.5,11.2,81.3,12.1,67.9,32.2,34.6,262.5,28.1,78.5,32.1,13.6,83.8,92.9,65.3,398.5,3.7,829.1,"1480.4",2.7,20.1,1.4,42,15.6,19007,21,7278,"WEST PULLMAN"
"312",60628,50,"Pullman",14.3,92.9,66.5,11.2,81.3,12.1,67.9,32.2,34.6,262.5,28.1,78.5,32.1,13.6,83.8,92.9,65.3,398.5,3.7,829.1,"1480.4",2.7,20.1,1.4,42,15.6,19007,21,7278,"MORGAN PARK"
"313",60628,50,"Pullman",14.3,92.9,66.5,11.2,81.3,12.1,67.9,32.2,34.6,262.5,28.1,78.5,32.1,13.6,83.8,92.9,65.3,398.5,3.7,829.1,"1480.4",2.7,20.1,1.4,42,15.6,19007,21,7278,"PULLMAN"
"314",60629,64,"Clearing",14.6,18.7,68.3,7.4,85.8,8,38.7,9.4,23.6,189.4,22.5,72,12.7,6.7,58.6,18.7,53.5,302,0.3,NA,".",0.9,5.9,3.4,36.4,18.5,23920,9.6,2927,"CHICAGO LAWN"
"315",60629,64,"Clearing",14.6,18.7,68.3,7.4,85.8,8,38.7,9.4,23.6,189.4,22.5,72,12.7,6.7,58.6,18.7,53.5,302,0.3,NA,".",0.9,5.9,3.4,36.4,18.5,23920,9.6,2927,"WEST LAWN"
"316",60629,64,"Clearing",14.6,18.7,68.3,7.4,85.8,8,38.7,9.4,23.6,189.4,22.5,72,12.7,6.7,58.6,18.7,53.5,302,0.3,NA,".",0.9,5.9,3.4,36.4,18.5,23920,9.6,2927,"GAGE PARK"
"317",60629,64,"Clearing",14.6,18.7,68.3,7.4,85.8,8,38.7,9.4,23.6,189.4,22.5,72,12.7,6.7,58.6,18.7,53.5,302,0.3,NA,".",0.9,5.9,3.4,36.4,18.5,23920,9.6,2927,"WEST ELSDON"
"318",60629,65,"West Lawn",18.8,19.7,83.3,7.6,83.5,8.3,44.6,10.7,16.9,145.1,15.7,61.5,8.8,8.4,36.7,19.7,43.1,508.3,0.2,93.1,"87.2",4.3,15.3,6.8,41.9,33.4,15898,7.8,32388,"CHICAGO LAWN"
"319",60629,65,"West Lawn",18.8,19.7,83.3,7.6,83.5,8.3,44.6,10.7,16.9,145.1,15.7,61.5,8.8,8.4,36.7,19.7,43.1,508.3,0.2,93.1,"87.2",4.3,15.3,6.8,41.9,33.4,15898,7.8,32388,"WEST LAWN"
"320",60629,65,"West Lawn",18.8,19.7,83.3,7.6,83.5,8.3,44.6,10.7,16.9,145.1,15.7,61.5,8.8,8.4,36.7,19.7,43.1,508.3,0.2,93.1,"87.2",4.3,15.3,6.8,41.9,33.4,15898,7.8,32388,"GAGE PARK"
"321",60629,65,"West Lawn",18.8,19.7,83.3,7.6,83.5,8.3,44.6,10.7,16.9,145.1,15.7,61.5,8.8,8.4,36.7,19.7,43.1,508.3,0.2,93.1,"87.2",4.3,15.3,6.8,41.9,33.4,15898,7.8,32388,"WEST ELSDON"
"322",60629,66,"Chicago Lawn",20.1,22.1,85.3,9.4,78.4,10.8,67.4,22.4,25,179.3,26.1,73,19.4,11.1,42.9,22.1,61.7,524.6,1.2,1189.5,"1159.9",5.3,22.2,6.5,40,31.6,14405,11.9,51103,"CHICAGO LAWN"
"323",60629,66,"Chicago Lawn",20.1,22.1,85.3,9.4,78.4,10.8,67.4,22.4,25,179.3,26.1,73,19.4,11.1,42.9,22.1,61.7,524.6,1.2,1189.5,"1159.9",5.3,22.2,6.5,40,31.6,14405,11.9,51103,"WEST LAWN"
"324",60629,66,"Chicago Lawn",20.1,22.1,85.3,9.4,78.4,10.8,67.4,22.4,25,179.3,26.1,73,19.4,11.1,42.9,22.1,61.7,524.6,1.2,1189.5,"1159.9",5.3,22.2,6.5,40,31.6,14405,11.9,51103,"GAGE PARK"
"325",60629,66,"Chicago Lawn",20.1,22.1,85.3,9.4,78.4,10.8,67.4,22.4,25,179.3,26.1,73,19.4,11.1,42.9,22.1,61.7,524.6,1.2,1189.5,"1159.9",5.3,22.2,6.5,40,31.6,14405,11.9,51103,"WEST ELSDON"
"326",60629,56,"Garfield Ridge",13.4,30.9,69,8,81.7,9.5,33.7,9.9,31,231.9,24.6,80.3,9.2,4.5,59.2,30.9,42.2,354.9,0.1,180,"101.8",3.5,9,2.6,39.5,19.4,24684,8.1,0,"CHICAGO LAWN"
"327",60629,56,"Garfield Ridge",13.4,30.9,69,8,81.7,9.5,33.7,9.9,31,231.9,24.6,80.3,9.2,4.5,59.2,30.9,42.2,354.9,0.1,180,"101.8",3.5,9,2.6,39.5,19.4,24684,8.1,0,"WEST LAWN"
"328",60629,56,"Garfield Ridge",13.4,30.9,69,8,81.7,9.5,33.7,9.9,31,231.9,24.6,80.3,9.2,4.5,59.2,30.9,42.2,354.9,0.1,180,"101.8",3.5,9,2.6,39.5,19.4,24684,8.1,0,"GAGE PARK"
"329",60629,56,"Garfield Ridge",13.4,30.9,69,8,81.7,9.5,33.7,9.9,31,231.9,24.6,80.3,9.2,4.5,59.2,30.9,42.2,354.9,0.1,180,"101.8",3.5,9,2.6,39.5,19.4,24684,8.1,0,"WEST ELSDON"
"330",60629,63,"Gage Park",21.8,41.1,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171,13.6,65,11.1,5.4,34.1,41.1,51.2,590.3,0.8,171.6,"149.2",7,20.8,17.4,40.4,54.1,12014,14,16628,"CHICAGO LAWN"
"331",60629,63,"Gage Park",21.8,41.1,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171,13.6,65,11.1,5.4,34.1,41.1,51.2,590.3,0.8,171.6,"149.2",7,20.8,17.4,40.4,54.1,12014,14,16628,"WEST LAWN"
"332",60629,63,"Gage Park",21.8,41.1,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171,13.6,65,11.1,5.4,34.1,41.1,51.2,590.3,0.8,171.6,"149.2",7,20.8,17.4,40.4,54.1,12014,14,16628,"GAGE PARK"
"333",60629,63,"Gage Park",21.8,41.1,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171,13.6,65,11.1,5.4,34.1,41.1,51.2,590.3,0.8,171.6,"149.2",7,20.8,17.4,40.4,54.1,12014,14,16628,"WEST ELSDON"
